MongoDB shell version: 3.2.8
connecting to: photometers
name,tamb,tsky,mag,tstamp,latitude,longitude
stars15,15.23,-10.2,17.96,2017-10-28T05:53:22Z,38.3149,-5.28355
stars69,17.1,-11.51,20.32,2017-10-28T05:53:20Z,42.6106406,-8.3708311
stars4,26.54,14.72,18.06,2017-10-28T05:53:14Z,28.6865,-17.7665
stars19,20.6,-3.41,19.98,2017-10-28T05:53:13Z,32.223877,-110.767532
stars1,11.14,-15.4,17.19,2017-10-28T05:53:13Z,40.4246043,-3.560279
stars18,10.24,-28.2,14.91,2017-10-28T05:53:13Z,40.037077,-1.001815
stars7,16.09,8.22,14.53,2017-10-28T05:53:07Z,42.81732,-1.64543
stars64,8.62,-7.34,0,2017-10-28T05:53:07Z,45.0510358,10.9197606
stars62,10.28,-20.4,14.08,2017-10-28T05:53:06Z,42.024592,0.7347973
stars52,13.47,-11.06,15.36,2017-10-28T05:53:05Z,36.87928471,-2.43834458
stars92,6.21,-0.69,0,2017-10-28T05:53:04Z,42.6378,23.3333
stars18,10.32,-28.16,14.95,2017-10-28T05:53:03Z,40.037077,-1.001815
stars78,12.81,8.33,15.88,2017-10-28T05:53:03Z,53.2872217,-6.2479933
stars56,20.6,2.3,20.08,2017-10-28T05:52:57Z,37.81391,-25.56859
stars76,17.27,-5.87,13.72,2017-10-28T05:52:56Z,39.478898,-0.376524
stars18,10.39,-27.9,14.99,2017-10-28T05:52:53Z,40.037077,-1.001815
stars8,12.83,-9.14,16.58,2017-10-28T05:52:47Z,42.71167,-1.86509
stars11,16.47,-11.59,17.44,2017-10-28T05:52:47Z,36.87,-6.26
stars4,26.54,14.68,18.07,2017-10-28T05:52:44Z,28.6865,-17.7665
stars18,10.42,-27.78,15.02,2017-10-28T05:52:43Z,40.037077,-1.001815
stars70,23.91,2.94,20.9,2017-10-28T05:52:43Z,28.5258381,-14.0050689
stars1,11.15,-15.44,17.26,2017-10-28T05:52:41Z,40.4246043,-3.560279
stars83,7.89,6.14,9.56,2017-10-28T05:52:37Z,59.267231,18.137398
stars79,24.24,14.7,20.97,2017-10-28T05:52:36Z,16.8640833,-24.86783333
stars32,12.68,-13.87,17.67,2017-10-28T05:52:36Z,40.628752,-3.90066
stars52,13.54,-11.07,15.47,2017-10-28T05:52:35Z,36.87928471,-2.43834458
stars35,7.27,-14.11,0,2017-10-28T05:52:33Z,45.93,13.91
stars18,10.45,-28.01,15.06,2017-10-28T05:52:33Z,40.037077,-1.001815
stars63,13.68,-11.17,19.98,2017-10-28T05:52:33Z,28.2983,-16.51048
stars48,11.62,-15.18,17.19,2017-10-28T05:52:33Z,40.406135,-3.8385415
stars47,11.63,-7.8,0,2017-10-28T05:52:32Z,45.40315,11.8845
stars9,15.04,-14.29,17.84,2017-10-28T05:52:32Z,38.409226,-4.894376
stars90,24.94,12.65,18.36,2017-10-28T05:52:29Z,,
stars2,10.38,-23.93,16.8,2017-10-28T05:52:25Z,41.0012989,-2.492408
stars18,10.49,-27.91,15.1,2017-10-28T05:52:23Z,40.037077,-1.001815
stars15,15.03,-10.53,18.15,2017-10-28T05:52:22Z,38.3149,-5.28355
stars4,26.54,14.71,18.05,2017-10-28T05:52:14Z,28.6865,-17.7665
stars19,20.61,-3.4,19.97,2017-10-28T05:52:13Z,32.223877,-110.767532
stars18,10.52,-27.93,15.14,2017-10-28T05:52:13Z,40.037077,-1.001815
stars71,16.16,-1.06,13.92,2017-10-28T05:52:12Z,43.5681472,1.327194444
stars1,11.17,-15.39,17.32,2017-10-28T05:52:11Z,40.4246043,-3.560279
stars64,8.59,-7.31,0,2017-10-28T05:52:07Z,45.0510358,10.9197606
stars62,10.29,-20.27,14.31,2017-10-28T05:52:06Z,42.024592,0.7347973
stars7,16.1,8.39,14.43,2017-10-28T05:52:06Z,42.81732,-1.64543
stars69,17.07,-11.5,20.4,2017-10-28T05:52:06Z,42.6106406,-8.3708311
stars52,13.58,-11.18,15.57,2017-10-28T05:52:05Z,36.87928471,-2.43834458
stars92,6.13,-0.6,0,2017-10-28T05:52:04Z,42.6378,23.3333
stars18,10.52,-27.96,15.18,2017-10-28T05:52:03Z,40.037077,-1.001815
stars78,12.87,8.32,15.88,2017-10-28T05:52:03Z,53.2872217,-6.2479933
stars56,20.6,2.32,20.08,2017-10-28T05:51:57Z,37.81391,-25.56859
stars76,17.29,-5.8,13.94,2017-10-28T05:51:56Z,39.478898,-0.376524
stars18,10.53,-28.36,15.21,2017-10-28T05:51:53Z,40.037077,-1.001815
stars8,12.75,-8.66,16.85,2017-10-28T05:51:47Z,42.71167,-1.86509
stars11,16.46,-11.65,17.63,2017-10-28T05:51:47Z,36.87,-6.26
stars4,26.54,14.69,18.07,2017-10-28T05:51:44Z,28.6865,-17.7665
stars18,10.52,-28.4,15.25,2017-10-28T05:51:43Z,40.037077,-1.001815
stars70,23.89,2.98,20.92,2017-10-28T05:51:43Z,28.5258381,-14.0050689
stars1,11.18,-15.36,17.39,2017-10-28T05:51:41Z,40.4246043,-3.560279
stars83,7.89,6.23,9.05,2017-10-28T05:51:37Z,59.267231,18.137398
stars79,24.28,14.71,20.97,2017-10-28T05:51:36Z,16.8640833,-24.86783333
stars32,12.67,-13.81,17.83,2017-10-28T05:51:36Z,40.628752,-3.90066
stars52,13.63,-10.94,15.67,2017-10-28T05:51:35Z,36.87928471,-2.43834458
stars35,7.32,-14.06,0,2017-10-28T05:51:33Z,45.93,13.91
stars18,10.5,-28.23,15.29,2017-10-28T05:51:33Z,40.037077,-1.001815
stars63,13.64,-11.17,19.99,2017-10-28T05:51:33Z,28.2983,-16.51048
stars48,11.61,-15.26,17.31,2017-10-28T05:51:33Z,40.406135,-3.8385415
stars9,15.04,-14.32,17.99,2017-10-28T05:51:32Z,38.409226,-4.894376
stars47,11.55,-7.6,0,2017-10-28T05:51:31Z,45.40315,11.8845
stars90,24.91,12.59,18.36,2017-10-28T05:51:29Z,,
stars18,10.46,-28.39,15.33,2017-10-28T05:51:23Z,40.037077,-1.001815
stars2,10.03,-24.01,16.99,2017-10-28T05:51:23Z,41.0012989,-2.492408
stars15,14.88,-10.2,18.32,2017-10-28T05:51:22Z,38.3149,-5.28355
stars4,26.52,14.74,18.06,2017-10-28T05:51:14Z,28.6865,-17.7665
stars19,20.61,-3.42,19.97,2017-10-28T05:51:13Z,32.223877,-110.767532
stars18,10.4,-28.25,15.36,2017-10-28T05:51:13Z,40.037077,-1.001815
stars1,11.18,-15.36,17.45,2017-10-28T05:51:11Z,40.4246043,-3.560279
stars64,8.6,-7.7,0,2017-10-28T05:51:07Z,45.0510358,10.9197606
stars52,13.66,-10.46,15.77,2017-10-28T05:51:05Z,36.87928471,-2.43834458
stars62,10.28,-20.35,14.55,2017-10-28T05:51:05Z,42.024592,0.7347973
stars7,16.04,8.34,14.62,2017-10-28T05:51:05Z,42.81732,-1.64543
stars92,6.07,-0.46,0,2017-10-28T05:51:04Z,42.6378,23.3333
stars18,10.32,-28.37,15.4,2017-10-28T05:51:03Z,40.037077,-1.001815
